Money,Back of flat O taps palm twice.,SEE,1
Finance,Palm up right F taps left palm twice.,SEE,2
Gunnar Myrdal,Sign Money (SEE) S to extended M.,LAS,3
Nol-pros,Sign  Contact (SEE) with right N.,LAS,4
Corpus,LIP Book (SEE) with small C.,LAS,5
Bleed,Index at chin drops, changing to palm-in 5 on back of left hand, moving downwards with fluttering fingers.,SEE,6
Ravage,Claw across throat (left to right).,LAS,7
Plunder,Sign Ravage (LAS) right hand drops to P.,LAS,8
Pillage,Sign Ravage (LAS) right hand drops to G.,LAS,9
Ransack,Sign Ravage (LAS) right hand drops to R.,LAS,10
Caveat,LIP Sign Warn (SEE) with ISL C.,LAS,11
Porcelain,Sign Clay (SEE) change right hand to P, raise slightly.,LAS,12
Clay,Cupped hands squeeze clay.,SEE,13
Bole,Sign Clay (SEE) with B's.,LAS,14
Potsherd,Sign Clay (SEE) change to GSL Θθ. ,LAS,15
Bucchero,Sign Clay (SEE) change right hand to ISL B, raise slightly.,LAS,16
Ceramic,Sign Clay (SEE) change right hand to C raise slightly.,LAS,17
Crete,Sign Clay (SEE)  change right hand to ISL C, raise slightly.,LAS,18
Maiolica/Majolica,Sign Clay (SEE)  change right hand to ISL M, raise slightly.,LAS,19
Disavow,Sign Recant (LAS) with right D.,LAS,20
Renege,Sign Recant (LAS) with right R.,LAS,21
Abjure,Sign Recant (LAS) with right A.,LAS,22
Concise,Sign Precise (LAS) swing to touch left C.,LAS,23
Abridge,Sign Precise (LAS) swing to touch left A.,LAS,24
Curt,Sign Precise (LAS) swings to touch left small C.,LAS,25
Pithy,Sign Precise (LAS) swing to touch left P.,LAS,26
Specific,Sign Precise (LAS) swing to touch left S.,LAS,27
Precise,Right 8 hand, touches right temple then swings outward.,LAS,28
Terse,Sign Precise (LAS), swing to touch left T.,LAS,29
Laconic,Sign Precise (LAS) swing to touch left L.,LAS,30
Brevity,Sign Precise (LAS) with LSF B.,LAS,31
Succinct,8 comes off forehead and turns out then moves down.,LAS,32
Verbatim,Sign Precise (LAS) swing to touch left V.,LAS,33
Napoleon,Sign Conquer (SEE) with right N near right hip.,LAS,34
Conquer,Wrist of palm-out Right S on wrist of palm-down left S, snap to palm-down, wrist-on-wrist.,SEE,35
Defeat,Right D over and behind palm-down left S jerks down at wrist to palm-down, wrist on wrist.,SEE,36
Conquistador,Sign Conquer (SEE) with small C's.,LAS,37
Inertia,Right hand signs Motion (LAS), turns to I - swings back against vertical palm left hand.,LAS,38
Motion,Left horizontal hand palm right, right palm down hand swings back and forth.,LAS,39
Impetus,Sign Motion (LAS) with ISL I.,LAS,40
Confucius,Left closed 5 over right closed 5 (on chest). Tap twice.,LAS,41
Taoism,Left closed 5 over right closed 5 (2 below bellybutton). Tap twice.,LAS,42
Di-,Left arm horizontal (palm left) right 2 taps wrist.,LAS,43
Tri,Left arm horizontal (palm left) right 3 taps wrist.,LAS,44
Penta,Left arm horizontal (palm left) right 5 taps wrist.,LAS,45
Hexa,Left arm horizontal (palm left) right 6 taps wrist.,LAS,46
Octa,Left arm horizontal (palm left) right 8 taps wrist.,LAS,47
Bi,Sign Di (LAS) right B taps wrist.,LAS,48
Quadri,Sign Di (LAS) with Q to D.,LAS,49
Sexta,Sign Di (LAS) with S.,LAS,50
Septa-/Sept-,Sign Di (LAS) right 7 taps wrist.,LAS,51
Tern,Sign Di (LAS) with T.,LAS,52
Uni,Sign Di (LAS) with U.,LAS,53
Mono-,Sign Single (SEE) with extended  M.,LAS,54
Single,Vertical right index, palm in circles slightly horizontally.,SEE,55
Diploid,Sign Single (SEE) with D.,LAS,56
Poly-,Sign Many (SEE) with right P.,LAS,57
Many,Palm-up S hands spring opn into 5 hands, repeat,SEE,58
Multi,Sign Many (SEE) with M's twice.,LAS,59
Annul,Sign Contract (SEE) left hand closes over fingers open as right '5' arches out.,LAS,60
Quash,Sign  Contact (SEE) with right Q.,LAS,61
Vacate,Sign  Contact (SEE) with right V.,LAS,62
Supersede,Sign  Contact (SEE) with right S.,LAS,63
Rescind,Sign  Contact (SEE) with right R.,LAS,64
Patria,LIP right hand ISL P circles once at left elbow.,LAS,65
Abrogate,Sign Contact (SEE) with A.,LAS,66
Expunge,Sign  Contact (SEE) with right E.,LAS,67
Hoax,Sign Lie (To tell a...) (SEE) with H to X.,LAS,68
Lie (To tell a...),Side of palm-down B moves left across chin (below mouth).,SEE,69
Pseudo,Sign Lie (To tell a...) (SEE) with P.,LAS,70
Fib,Palm down index passes to left under lip; may repeat.,SEE,71
Bluff,Sign Lie (To tell a...) (SEE) with B to F.,LAS,72
Humbug,Sign Lie (To tell a...) (SEE) with H + c.i.,LAS,73
Ordeal,Tips of bent 5 fingers strike chest, then tips of fingers brush palm-up left hand.,LAS,74
Woe,Sign Ordeal (LAS) with right W.,LAS,75
Plight,Sign Ordeal (LAS) with right P.,LAS,76
Crux,Sign Ordeal (LAS) with right C.,LAS,77
Calamity,Sign Ordeal (LAS) with right Y.,LAS,78
Snug,A hands on upper chest, move slightly up toward neck, remaining on body the whole time.,BSL,79
Huddle,Sign Snug (BSL) with H's.,LAS,80
Hale,Sign Snug (BSL) with right H.,LAS,81
Cushy,Sign Snug (BSL) with palm-up small C.,LAS,82
Testify,Vertical right hand palm-out near shoulder, horizontal index of left hand circles near mouth.,SEE,83
Rent,Horizontal R's, right on left, arc back toward body.,SEE,84
Lend,Right on left V's arc away from the body.,SEE,85
Excess,Bent Hands, right above left, right arcs inward and up twice.,SEE,86
Contribute,9 pulls out of pocket, moves forward and opens to palm-down 5.,SEE,87
Generate,G's, palms-facing, circle each other forward from right shoulder.,SEE,88
Heredity,Palm sin H's circle each other forward from right shoulder.,SEE,89
Inherit,Palm in I's roll forward from right shoulder, little fingers circling each other.,SEE,90
Legend,Palm in horizontal L's circle each other forward from right shoulder.,SEE,91
Character,C circles clockwise, then touches on left chest.,SEE,92
Attitude,Right A-hand circles the heart and touches chest.,SEE,93
Feature,Side of F hand circles heart clockwise once on chest.,SEE,94
Moral,Side of M on chest near heart, make circle and touch again.,SEE,95
Morale,Side of M circles on chest near heart, ending in E.,SEE,96
Noble,Sign Character (SEE) with N.,SEE,97
Personal,Right P hand circles clockwise then touches on left shoulder.,SEE,98
Qualify,Sign Character (SEE) with Q.,SEE,99
Trait,Side of T circles near left shoulder, then touches it.,SEE,100
Free,Palm-in F's, crossed at wrists, separate and twist to palm-out.,SEE,101
Liberty,Palm-in L's, crossed at wrists, separate and twist to palm-out.,SEE,102
Rescue,Separate palm-in crossed R's to sides, twisting to palm-out.,SEE,103
Persuade,Sign Urge (SEE) with X's.,SEE,104
Treat,Palms up T's push forward; repeat.,SEE,105
Urge,Horizontal A's, slightly to the side, jerk forward twice.,SEE,106
Fresh,Back of F hand slides left across left fingers and palm, arcing up.,SEE,107
Gospel,Little finger finger side of G hand brushes up left palm; repeat.,SEE,108
Modern,Back of M brushes down, along left palm and up.,SEE,109
New,Back of right palm-up flat hand arcs down, brushes across left palm and arcs up slightly.,SEE,110
Raw,Palm up R arcs left across palm.,SEE,111
Brick,Sign Stone (SEE) with right B.,SEE,112
Concrete,Back of C strikes back of left palm down S hand.,SEE,113
Fossil (Alt. 2),Fingertips and thumb of right F make elongated circle in palm up left hand.,SEE,114
Gravel,Back of G taps on back of left S.,SEE,115
Mineral,Sign Stone (SEE) with right extended M.,SEE,116
Ore,Sign Stone (SEE) with right O,SEE,117
Pebble,Sign Stone (SEE) with right P.,SEE,118
Rock,Sign Stone (SEE) with righ R.,SEE,119
Stone,Back of right hand palm-up S raps back of left palm-down S, repeat.,SEE,120
Atom,Left horizontal palm in pinkie, palm-down. Right A thumb circles near left thumb.,SEE,121
Electron,Left horizontal palm in pinkie, palm down, right E circles near left  thumb.,SEE,122
Molecule,Left horizontal palm in pinkie, palm down, right M circles near left thumb.,SEE,123
Neutron,Sign Atom (SEE) with right N,SEE,124
Proton,Sign Atom (SEE) with right P.,SEE,125
Attract,Thumb of right A on palm; both move toward body.,SEE,126
Allergy,Right index points at left A and both draw sharply apart.,SEE,127
Contrast,Right index points at left palm-out C, jerk hands apart.,SEE,128
Enemy,Palm-out E and left horizontal index pull away from each other.,SEE,129
