id,identifier
1,Money,Back of flat O taps palm twice.,SEE
2,Finance,Palm up right F taps left palm twice.,SEE
3,Gunnar Myrdal,Sign Money (SEE) S to extended M.,LAS
4,Nol-pros,Sign  Contact (SEE) with right N.,LAS
5,Corpus,LIP Book (SEE) with small C.,LAS
6,Bleed,Index at chin drops, changing to palm-in 5 on back of left hand, moving downwards with fluttering fingers.,SEE
7,Ravage,Claw across throat (left to right).,LAS
8,Plunder,Sign Ravage (LAS) right hand drops to P.,LAS
9,Pillage,Sign Ravage (LAS) right hand drops to G.,LAS
10,Ransack,Sign Ravage (LAS) right hand drops to R.,LAS
11,Caveat,LIP Sign Warn (SEE) with ISL C.,LAS
12,Porcelain,Sign Clay (SEE) change right hand to P, raise slightly.,LAS
13,Clay,Cupped hands squeeze clay.,SEE
14,Bole,Sign Clay (SEE) with B's.,LAS
15,Potsherd,Sign Clay (SEE) change to GSL Θθ. ,LAS
16,Bucchero,Sign Clay (SEE) change right hand to ISL B, raise slightly.,LAS
17,Ceramic,Sign Clay (SEE) change right hand to C raise slightly.,LAS
18,Crete,Sign Clay (SEE)  change right hand to ISL C, raise slightly.,LAS
19,Maiolica/Majolica,Sign Clay (SEE)  change right hand to ISL M, raise slightly.,LAS
20,Disavow,Sign Recant (LAS) with right D.,LAS
21,Renege,Sign Recant (LAS) with right R.,LAS
22,Abjure,Sign Recant (LAS) with right A.,LAS
23,Concise,Sign Precise (LAS) swing to touch left C.,LAS
24,Abridge,Sign Precise (LAS) swing to touch left A.,LAS
25,Curt,Sign Precise (LAS) swings to touch left small C.,LAS
26,Pithy,Sign Precise (LAS) swing to touch left P.,LAS
27,Specific,Sign Precise (LAS) swing to touch left S.,LAS
28,Precise,Right 8 hand, touches right temple then swings outward.,LAS
29,Terse,Sign Precise (LAS), swing to touch left T.,LAS
30,Laconic,Sign Precise (LAS) swing to touch left L.,LAS
31,Brevity,Sign Precise (LAS) with LSF B.,LAS
32,Succinct,8 comes off forehead and turns out then moves down.,LAS
33,Verbatim,Sign Precise (LAS) swing to touch left V.,LAS
34,Napoleon,Sign Conquer (SEE) with right N near right hip.,LAS
35,Conquer,Wrist of palm-out Right S on wrist of palm-down left S, snap to palm-down, wrist-on-wrist.,SEE
36,Defeat,Right D over and behind palm-down left S jerks down at wrist to palm-down, wrist on wrist.,SEE
37,Conquistador,Sign Conquer (SEE) with small C's.,LAS
38,Inertia,Right hand signs Motion (LAS), turns to I - swings back against vertical palm left hand.,LAS
